,datetime,detid,flow
0,2015-10-05 00:00:00,K1D43,0.0
1,2015-10-05 00:03:00,K1D43,20.0
2,2015-10-05 00:06:00,K1D43,80.0
3,2015-10-05 00:09:00,K1D43,20.0
4,2015-10-05 00:12:00,K1D43,20.0
5,2015-10-05 00:15:00,K1D43,0.0
6,2015-10-05 00:18:00,K1D43,0.0
7,2015-10-05 00:21:00,K1D43,0.0
8,2015-10-05 00:24:00,K1D43,20.0
9,2015-10-05 00:27:00,K1D43,0.0
10,2015-10-05 00:30:00,K1D43,20.0
11,2015-10-05 00:33:00,K1D43,20.0
12,2015-10-05 00:36:00,K1D43,0.0
13,2015-10-05 00:39:00,K1D43,0.0
14,2015-10-05 00:42:00,K1D43,0.0
15,2015-10-05 00:45:00,K1D43,0.0
16,2015-10-05 00:48:00,K1D43,20.0
17,2015-10-05 00:51:00,K1D43,0.0
18,2015-10-05 00:54:00,K1D43,0.0
19,2015-10-05 00:57:00,K1D43,0.0
20,2015-10-05 01:00:00,K1D43,0.0
21,2015-10-05 01:03:00,K1D43,20.0
22,2015-10-05 01:06:00,K1D43,20.0
23,2015-10-05 01:09:00,K1D43,0.0
24,2015-10-05 01:12:00,K1D43,0.0
25,2015-10-05 01:15:00,K1D43,0.0
26,2015-10-05 01:18:00,K1D43,20.0
27,2015-10-05 01:21:00,K1D43,0.0
28,2015-10-05 01:24:00,K1D43,20.0
29,2015-10-05 01:27:00,K1D43,20.0
30,2015-10-05 01:30:00,K1D43,0.0
31,2015-10-05 01:33:00,K1D43,0.0
32,2015-10-05 01:36:00,K1D43,20.0
33,2015-10-05 01:39:00,K1D43,0.0
34,2015-10-05 01:42:00,K1D43,20.0
35,2015-10-05 01:45:00,K1D43,0.0
36,2015-10-05 01:48:00,K1D43,0.0
37,2015-10-05 01:51:00,K1D43,0.0
38,2015-10-05 01:54:00,K1D43,0.0
39,2015-10-05 01:57:00,K1D43,0.0
40,2015-10-05 02:00:00,K1D43,0.0
41,2015-10-05 02:03:00,K1D43,0.0
42,2015-10-05 02:06:00,K1D43,0.0
43,2015-10-05 02:09:00,K1D43,40.0
44,2015-10-05 02:12:00,K1D43,0.0
45,2015-10-05 02:15:00,K1D43,20.0
46,2015-10-05 02:18:00,K1D43,0.0
47,2015-10-05 02:21:00,K1D43,20.0
48,2015-10-05 02:24:00,K1D43,20.0
49,2015-10-05 02:27:00,K1D43,20.0
50,2015-10-05 02:30:00,K1D43,20.0
51,2015-10-05 02:33:00,K1D43,0.0
52,2015-10-05 02:36:00,K1D43,40.0
53,2015-10-05 02:39:00,K1D43,0.0
54,2015-10-05 02:42:00,K1D43,60.0
55,2015-10-05 02:45:00,K1D43,20.0
56,2015-10-05 02:48:00,K1D43,0.0
57,2015-10-05 02:51:00,K1D43,60.0
58,2015-10-05 02:54:00,K1D43,160.0
59,2015-10-05 02:57:00,K1D43,60.0
60,2015-10-05 03:00:00,K1D43,100.0
61,2015-10-05 03:03:00,K1D43,80.0
62,2015-10-05 03:06:00,K1D43,80.0
63,2015-10-05 03:09:00,K1D43,20.0
64,2015-10-05 03:12:00,K1D43,80.0
65,2015-10-05 03:15:00,K1D43,120.0
66,2015-10-05 03:18:00,K1D43,80.0
67,2015-10-05 03:21:00,K1D43,80.0
68,2015-10-05 03:24:00,K1D43,120.0
69,2015-10-05 03:27:00,K1D43,160.0
70,2015-10-05 03:30:00,K1D43,300.0
71,2015-10-05 03:33:00,K1D43,120.0
72,2015-10-05 03:36:00,K1D43,240.0
73,2015-10-05 03:39:00,K1D43,260.0
74,2015-10-05 03:42:00,K1D43,180.0
75,2015-10-05 03:45:00,K1D43,260.0
76,2015-10-05 03:48:00,K1D43,400.0
77,2015-10-05 03:51:00,K1D43,260.0
78,2015-10-05 03:54:00,K1D43,340.0
79,2015-10-05 03:57:00,K1D43,320.0
80,2015-10-05 04:00:00,K1D43,380.0
81,2015-10-05 04:03:00,K1D43,300.0
82,2015-10-05 04:06:00,K1D43,380.0
83,2015-10-05 04:09:00,K1D43,340.0
84,2015-10-05 04:12:00,K1D43,520.0
85,2015-10-05 04:15:00,K1D43,420.0
86,2015-10-05 04:18:00,K1D43,480.0
87,2015-10-05 04:21:00,K1D43,500.0
88,2015-10-05 04:24:00,K1D43,480.0
89,2015-10-05 04:27:00,K1D43,640.0
90,2015-10-05 04:30:00,K1D43,480.0
91,2015-10-05 04:33:00,K1D43,600.0
92,2015-10-05 04:36:00,K1D43,860.0
93,2015-10-05 04:39:00,K1D43,640.0
94,2015-10-05 04:42:00,K1D43,600.0
95,2015-10-05 04:45:00,K1D43,820.0
96,2015-10-05 04:48:00,K1D43,540.0
97,2015-10-05 04:51:00,K1D43,620.0
98,2015-10-05 04:54:00,K1D43,900.0
99,2015-10-05 04:57:00,K1D43,880.0
100,2015-10-05 05:00:00,K1D43,1000.0
101,2015-10-05 05:03:00,K1D43,840.0
102,2015-10-05 05:06:00,K1D43,780.0
103,2015-10-05 05:09:00,K1D43,580.0
104,2015-10-05 05:12:00,K1D43,980.0
105,2015-10-05 05:15:00,K1D43,740.0
106,2015-10-05 05:18:00,K1D43,920.0
107,2015-10-05 05:21:00,K1D43,480.0
108,2015-10-05 05:24:00,K1D43,780.0
109,2015-10-05 05:27:00,K1D43,880.0
110,2015-10-05 05:30:00,K1D43,720.0
111,2015-10-05 05:33:00,K1D43,920.0
112,2015-10-05 05:36:00,K1D43,780.0
113,2015-10-05 05:39:00,K1D43,920.0
114,2015-10-05 05:42:00,K1D43,700.0
115,2015-10-05 05:45:00,K1D43,820.0
116,2015-10-05 05:48:00,K1D43,860.0
117,2015-10-05 05:51:00,K1D43,620.0
118,2015-10-05 05:54:00,K1D43,1000.0
119,2015-10-05 05:57:00,K1D43,740.0
120,2015-10-05 06:00:00,K1D43,820.0
121,2015-10-05 06:03:00,K1D43,620.0
122,2015-10-05 06:06:00,K1D43,700.0
123,2015-10-05 06:09:00,K1D43,900.0
124,2015-10-05 06:12:00,K1D43,960.0
125,2015-10-05 06:15:00,K1D43,700.0
126,2015-10-05 06:18:00,K1D43,960.0
127,2015-10-05 06:21:00,K1D43,720.0
128,2015-10-05 06:24:00,K1D43,800.0
129,2015-10-05 06:27:00,K1D43,540.0
130,2015-10-05 06:30:00,K1D43,900.0
131,2015-10-05 06:33:00,K1D43,720.0
132,2015-10-05 06:36:00,K1D43,780.0
133,2015-10-05 06:39:00,K1D43,680.0
134,2015-10-05 06:42:00,K1D43,960.0
135,2015-10-05 06:45:00,K1D43,760.0
136,2015-10-05 06:48:00,K1D43,520.0
137,2015-10-05 06:51:00,K1D43,720.0
138,2015-10-05 06:54:00,K1D43,580.0
139,2015-10-05 06:57:00,K1D43,600.0
140,2015-10-05 07:00:00,K1D43,900.0
141,2015-10-05 07:03:00,K1D43,860.0
142,2015-10-05 07:06:00,K1D43,480.0
143,2015-10-05 07:09:00,K1D43,920.0
144,2015-10-05 07:12:00,K1D43,880.0
145,2015-10-05 07:15:00,K1D43,580.0
146,2015-10-05 07:18:00,K1D43,680.0
147,2015-10-05 07:21:00,K1D43,780.0
148,2015-10-05 07:24:00,K1D43,540.0
149,2015-10-05 07:27:00,K1D43,580.0
150,2015-10-05 07:30:00,K1D43,640.0
151,2015-10-05 07:33:00,K1D43,600.0
152,2015-10-05 07:36:00,K1D43,480.0
153,2015-10-05 07:39:00,K1D43,840.0
154,2015-10-05 07:42:00,K1D43,480.0
155,2015-10-05 07:45:00,K1D43,440.0
156,2015-10-05 07:48:00,K1D43,640.0
157,2015-10-05 07:51:00,K1D43,740.0
158,2015-10-05 07:54:00,K1D43,680.0
159,2015-10-05 07:57:00,K1D43,580.0
160,2015-10-05 08:00:00,K1D43,680.0
161,2015-10-05 08:03:00,K1D43,460.0
162,2015-10-05 08:06:00,K1D43,700.0
163,2015-10-05 08:09:00,K1D43,500.0
164,2015-10-05 08:12:00,K1D43,580.0
165,2015-10-05 08:15:00,K1D43,540.0
166,2015-10-05 08:18:00,K1D43,700.0
167,2015-10-05 08:21:00,K1D43,500.0
168,2015-10-05 08:24:00,K1D43,700.0
169,2015-10-05 08:27:00,K1D43,580.0
170,2015-10-06 15:18:00,K1D43,600.0
171,2015-10-06 15:21:00,K1D43,560.0
172,2015-10-06 15:24:00,K1D43,780.0
173,2015-10-06 15:27:00,K1D43,600.0
174,2015-10-06 15:30:00,K1D43,720.0
175,2015-10-06 15:33:00,K1D43,520.0
176,2015-10-06 15:36:00,K1D43,580.0
177,2015-10-06 15:39:00,K1D43,640.0
178,2015-10-06 15:42:00,K1D43,800.0
179,2015-10-06 15:45:00,K1D43,760.0
180,2015-10-06 15:48:00,K1D43,540.0
181,2015-10-06 15:51:00,K1D43,640.0
182,2015-10-06 15:54:00,K1D43,680.0
183,2015-10-06 15:57:00,K1D43,660.0
184,2015-10-06 16:00:00,K1D43,700.0
185,2015-10-06 16:03:00,K1D43,420.0
186,2015-10-06 16:06:00,K1D43,440.0
187,2015-10-06 16:09:00,K1D43,760.0
188,2015-10-06 16:12:00,K1D43,600.0
189,2015-10-06 16:15:00,K1D43,720.0
190,2015-10-06 16:18:00,K1D43,480.0
191,2015-10-06 16:21:00,K1D43,760.0
192,2015-10-06 16:24:00,K1D43,760.0
193,2015-10-06 16:27:00,K1D43,380.0
194,2015-10-06 16:30:00,K1D43,520.0
195,2015-10-06 16:33:00,K1D43,680.0
196,2015-10-06 16:36:00,K1D43,620.0
197,2015-10-06 16:39:00,K1D43,620.0
198,2015-10-06 16:42:00,K1D43,660.0
199,2015-10-06 16:45:00,K1D43,540.0
200,2015-10-06 16:48:00,K1D43,660.0
201,2015-10-06 16:51:00,K1D43,680.0
202,2015-10-06 16:54:00,K1D43,780.0
203,2015-10-06 16:57:00,K1D43,820.0
204,2015-10-06 17:00:00,K1D43,820.0
205,2015-10-06 17:03:00,K1D43,580.0
206,2015-10-06 17:06:00,K1D43,700.0
207,2015-10-06 17:09:00,K1D43,820.0
208,2015-10-06 17:12:00,K1D43,600.0
209,2015-10-06 17:15:00,K1D43,800.0
210,2015-10-06 17:18:00,K1D43,580.0
211,2015-10-06 17:21:00,K1D43,560.0
212,2015-10-06 17:24:00,K1D43,560.0
213,2015-10-06 17:27:00,K1D43,440.0
214,2015-10-06 17:30:00,K1D43,300.0
215,2015-10-06 17:33:00,K1D43,380.0
216,2015-10-06 17:36:00,K1D43,460.0
217,2015-10-06 17:39:00,K1D43,580.0
218,2015-10-06 17:42:00,K1D43,360.0
219,2015-10-06 17:45:00,K1D43,420.0
220,2015-10-06 17:48:00,K1D43,580.0
221,2015-10-06 17:51:00,K1D43,260.0
