long,lat,order,piece,linkid,group,citycode
8.629155,49.8699086,1,1,0,0.1,darmstadt
8.6296465,49.869922,2,1,0,0.1,darmstadt
8.6329355,49.870358,3,1,0,0.1,darmstadt
8.629155,49.8698798,1,1,1,1.1,darmstadt
8.6297123,49.8698942,2,1,1,1.1,darmstadt
8.6329163,49.8703222,3,1,1,1.1,darmstadt
8.621269,49.868651,1,1,2,2.1,darmstadt
8.62809,49.869596,2,1,2,2.1,darmstadt
8.6285501,49.8696555,3,1,2,2.1,darmstadt
8.6286209,49.8695553,1,1,3,3.1,darmstadt
8.6281245,49.869566,2,1,3,3.1,darmstadt
8.6277327,49.8695127,3,1,3,3.1,darmstadt
8.626748,49.869382,4,1,3,3.1,darmstadt
8.6247062,49.8690963,5,1,3,3.1,darmstadt
8.621269,49.868651,6,1,3,3.1,darmstadt
8.621258,49.868682,1,1,4,4.1,darmstadt
8.6249687,49.8691948,2,1,4,4.1,darmstadt
8.6268322,49.869453,3,1,4,4.1,darmstadt
8.6276405,49.8695716,4,1,4,4.1,darmstadt
8.628524,49.869673,5,1,4,4.1,darmstadt
8.6290945,49.869731,1,1,5,5.1,darmstadt
8.62986,49.869878,2,1,5,5.1,darmstadt
8.630938,49.870013,3,1,5,5.1,darmstadt
8.631469,49.870053,4,1,5,5.1,darmstadt
8.632805,49.870201,5,1,5,5.1,darmstadt
8.632816,49.87017,1,1,6,6.1,darmstadt
8.631064,49.869992,2,1,6,6.1,darmstadt
8.630874,49.869984,3,1,6,6.1,darmstadt
8.629881,49.869845,4,1,6,6.1,darmstadt
8.629078,49.8696924,5,1,6,6.1,darmstadt
8.633338,49.87015,1,1,7,7.1,darmstadt
8.6335951,49.8694813,2,1,7,7.1,darmstadt
8.6335551,49.8694719,1,1,8,8.1,darmstadt
8.63329,49.870139,2,1,8,8.1,darmstadt
8.6334192,49.8697398,1,1,9,9.1,darmstadt
8.633248,49.870135,2,1,9,9.1,darmstadt
8.632979,49.870618,1,1,10,10.1,darmstadt
8.632859,49.871405,2,1,10,10.1,darmstadt
8.6326925,49.872551,3,1,10,10.1,darmstadt
8.633025,49.870627,1,1,11,11.1,darmstadt
8.6327275,49.8726056,2,1,11,11.1,darmstadt
8.641866,49.871663,1,1,12,12.1,darmstadt
8.642175,49.871703,2,1,12,12.1,darmstadt
8.642481,49.871709,3,1,12,12.1,darmstadt
8.642995,49.871787,4,1,12,12.1,darmstadt
8.643263,49.8718436,5,1,12,12.1,darmstadt
8.643523,49.871883,6,1,12,12.1,darmstadt
8.6442008,49.8719653,7,1,12,12.1,darmstadt
8.6441708,49.8719236,1,1,13,13.1,darmstadt
8.6435923,49.8718696,2,1,13,13.1,darmstadt
8.643097,49.871781,3,1,13,13.1,darmstadt
8.6427386,49.8717087,4,1,13,13.1,darmstadt
8.6425581,49.8716906,5,1,13,13.1,darmstadt
8.642399,49.871683,6,1,13,13.1,darmstadt
8.642179,49.871671,7,1,13,13.1,darmstadt
8.641866,49.871633,8,1,13,13.1,darmstadt
8.641308,49.871355,1,1,14,14.1,darmstadt
8.635385,49.8705588,2,1,14,14.1,darmstadt
8.641298,49.871379,1,1,15,15.1,darmstadt
8.6353892,49.8705851,2,1,15,15.1,darmstadt
8.641749,49.871281,1,1,16,16.1,darmstadt
8.642471,49.869106,2,1,16,16.1,darmstadt
8.641717,49.871278,1,1,17,17.1,darmstadt
8.642435,49.869099,2,1,17,17.1,darmstadt
8.6442889,49.8720903,1,1,18,18.1,darmstadt
8.6439428,49.8730375,2,1,18,18.1,darmstadt
8.644858,49.871628,1,1,19,19.1,darmstadt
8.645004,49.871412,2,1,19,19.1,darmstadt
8.645242,49.87077,3,1,19,19.1,darmstadt
8.6456411,49.869642,4,1,19,19.1,darmstadt
8.6456031,49.8696376,1,1,20,20.1,darmstadt
8.644937,49.871403,2,1,20,20.1,darmstadt
8.64482,49.871615,3,1,20,20.1,darmstadt
8.641929,49.87146,1,1,21,21.1,darmstadt
8.642902,49.871624,2,1,21,21.1,darmstadt
8.643349,49.871648,3,1,21,21.1,darmstadt
8.643975,49.871729,4,1,21,21.1,darmstadt
8.6498536,49.8701198,1,1,22,22.1,darmstadt
8.6491396,49.8724058,2,1,22,22.1,darmstadt
8.6449287,49.8718995,1,1,23,23.1,darmstadt
8.64686,49.8721937,2,1,23,23.1,darmstadt
8.6484625,49.8724047,3,1,23,23.1,darmstadt
8.6487885,49.8724517,4,1,23,23.1,darmstadt
8.6487778,49.8724871,1,1,24,24.1,darmstadt
8.6467414,49.8722105,2,1,24,24.1,darmstadt
8.6449062,49.8719373,3,1,24,24.1,darmstadt
8.6368098,49.8709546,1,1,25,25.1,darmstadt
8.6372768,49.8709946,2,1,25,25.1,darmstadt
8.6412643,49.8715646,3,1,25,25.1,darmstadt
8.636808,49.8709282,1,1,26,26.1,darmstadt
8.637263,49.8709642,2,1,26,26.1,darmstadt
8.641439,49.8715532,3,1,26,26.1,darmstadt
8.635385,49.8705588,1,1,27,27.1,darmstadt
8.63329,49.8702688,2,1,27,27.1,darmstadt
8.6332797,49.870299,1,1,28,28.1,darmstadt
8.6353677,49.870586,2,1,28,28.1,darmstadt
8.651111,49.882068,1,1,29,29.1,darmstadt
8.651304,49.882953,2,1,29,29.1,darmstadt
8.651456,49.883438,3,1,29,29.1,darmstadt
8.651492,49.883708,4,1,29,29.1,darmstadt
8.651444,49.883711,1,1,30,30.1,darmstadt
8.651425,49.883445,2,1,30,30.1,darmstadt
8.6512842,49.8830106,3,1,30,30.1,darmstadt
8.6510654,49.8820654,4,1,30,30.1,darmstadt
8.6460454,49.8821066,1,1,31,31.1,darmstadt
8.6465094,49.8824186,2,1,31,31.1,darmstadt
8.6476084,49.8829694,3,1,31,31.1,darmstadt
8.6484064,49.8832756,4,1,31,31.1,darmstadt
8.6486847,49.8833757,5,1,31,31.1,darmstadt
8.6491411,49.8835191,6,1,31,31.1,darmstadt
8.649417,49.8835941,7,1,31,31.1,darmstadt
8.6512451,49.8840294,1,1,32,32.1,darmstadt
8.6496032,49.8836123,2,1,32,32.1,darmstadt
8.6491467,49.8834925,3,1,32,32.1,darmstadt
8.6486473,49.8833398,4,1,32,32.1,darmstadt
8.6476646,49.8829584,5,1,32,32.1,darmstadt
8.6465407,49.8823881,6,1,32,32.1,darmstadt
8.6460763,49.8820795,7,1,32,32.1,darmstadt
8.646114,49.8820602,1,1,33,33.1,darmstadt
8.646578,49.8823836,2,1,33,33.1,darmstadt
8.6476567,49.8829228,3,1,33,33.1,darmstadt
8.6486233,49.8833021,4,1,33,33.1,darmstadt
8.649488,49.8835672,5,1,33,33.1,darmstadt
8.651264,49.8839972,6,1,33,33.1,darmstadt
8.6457923,49.8816735,1,1,34,34.1,darmstadt
8.6445153,49.8802665,2,1,34,34.1,darmstadt
8.6442773,49.8799615,3,1,34,34.1,darmstadt
8.6437633,49.8781315,4,1,34,34.1,darmstadt
8.643731,49.8781393,1,1,35,35.1,darmstadt
8.644221,49.8799743,2,1,35,35.1,darmstadt
8.645754,49.8816933,3,1,35,35.1,darmstadt
8.643609,49.878279,1,1,36,36.1,darmstadt
8.644009,49.879797,2,1,36,36.1,darmstadt
8.644266,49.880203,3,1,36,36.1,darmstadt
8.644773,49.880787,4,1,36,36.1,darmstadt
8.645674,49.88176,5,1,36,36.1,darmstadt
8.645712,49.881744,1,1,37,37.1,darmstadt
8.644301,49.880192,2,1,37,37.1,darmstadt
8.644057,49.879793,3,1,37,37.1,darmstadt
8.643663,49.878277,4,1,37,37.1,darmstadt
8.643724,49.877977,1,1,38,38.1,darmstadt
8.643531,49.877111,2,1,38,38.1,darmstadt
8.643354,49.876506,3,1,38,38.1,darmstadt
8.643303,49.876516,1,1,39,39.1,darmstadt
8.64352,49.877211,2,1,39,39.1,darmstadt
8.643684,49.877982,3,1,39,39.1,darmstadt
8.643239,49.875234,1,1,40,40.1,darmstadt
8.643153,49.875475,2,1,40,40.1,darmstadt
8.643089,49.875771,3,1,40,40.1,darmstadt
8.6431061,49.8761498,4,1,40,40.1,darmstadt
8.643209,49.876532,5,1,40,40.1,darmstadt
8.643276,49.87524,1,1,41,41.1,darmstadt
8.6432,49.87549,2,1,41,41.1,darmstadt
